# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/asim/ssurf/s16/./iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.4 -i inputs.r888.555
# uid: 8850
# jobid: 5792842
# start_time: 1499707955
# start_time_asci: Mon Jul 10 10:32:35 2017
# end_time: 1499707981
# end_time_asci: Mon Jul 10 10:33:01 2017
# nprocs: 128
# run time: 27
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 498 bytes (compressed)
# record table: 278 bytes (compressed)
# POSIX module: 12674 bytes (compressed), ver=3
# MPI-IO module: 14794 bytes (compressed), ver=2
# LUSTRE module: 22188 bytes (compressed), ver=1
# STDIO module: 9473 bytes (compressed), ver=1
# DXT_POSIX module: 79846 bytes (compressed), ver=1
# DXT_MPIIO module: 12606 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/p0	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	dvs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	dvs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	dvs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	dvs
# mount entry:	/usr/sbin/ibstat	overlayfs
# mount entry:	/new_root/lower	dvs
# mount entry:	/var/spool/cron	overlayfs
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	dvs
# mount entry:	/etc/dat.conf	overlayfs
# mount entry:	/opt/cray/pe	dvs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	dvs
# mount entry:	/opt/chapel	dvs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/opt/intel	autofs
# mount entry:	/opt/intel	dvs
# mount entry:	/opt/java	dvs
# mount entry:	/opt/gcc	dvs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	dvs
# mount entry:	/dev	devtmpfs
# mount entry:	/	rootfs
# mount entry:	/	overlayfs

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 3488565796830679193, file_name: /global/cscratch1/sd/asim/ssurf/s16/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid00608
# DXT, write_count: 154, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 16777216, Lustre stripe_count: 48
# DXT, Lustre OST obdidx: 204 230 66 132 52 146 214 86 200 176 24 16 6 224 76 90 198 190 112 114 58 78 102 74 32 68 36 48 208 30 194 238 182 126 96 28 142 188 34 44 22 164 54 140 92 110 20 156
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write       45     28991029248     16777216     12.2137     12.2642  [204]
 X_POSIX       0  write       46     29796335616     16777216     12.2912     12.3178  [204]
 X_POSIX       0  write       47     30601641984     16777216     12.3805     12.4049  [204]
 X_POSIX       0  write       48     31406948352     16777216     12.4133     12.4434  [204]
 X_POSIX       0  write       49     32212254720     16777216     12.5273     12.5594  [204]
 X_POSIX       0  write       50     33017561088     16777216     12.5879     12.6218  [204]
 X_POSIX       0  write       51     33822867456     16777216     12.7614     12.7928  [204]
 X_POSIX       0  write       52     34628173824     16777216     12.9658     12.9839  [204]
 X_POSIX       0  write       53     35433480192     16777216     13.0782     13.1044  [204]
 X_POSIX       0  write       54     36238786560     16777216     13.1249     13.1506  [204]
 X_POSIX       0  write       55     37044092928     16777216     13.2416     13.2801  [204]
 X_POSIX       0  write       56     37849399296     16777216     13.3180     13.3408  [204]
 X_POSIX       0  write       57     38654705664     16777216     13.3574     13.3954  [204]
 X_POSIX       0  write       58     39460012032     16777216     13.4824     13.5140  [204]
 X_POSIX       0  write       59     40265318400     16777216     13.5309     13.5601  [204]
 X_POSIX       0  write       60     41070624768     16777216     13.6304     13.6733  [204]
 X_POSIX       0  write       61     41875931136     16777216     13.7199     13.7589  [204]
 X_POSIX       0  write       62     42681237504     16777216     13.7767     13.8086  [204]
 X_POSIX       0  write       63     43486543872     16777216     13.9124     13.9484  [204]
 X_POSIX       0  write       64     44291850240     16777216     13.9963     14.0282  [204]
 X_POSIX       0  write       65     45097156608     16777216     14.0473     14.0778  [204]
 X_POSIX       0  write       66     45902462976     16777216     14.1330     14.1573  [204]
 X_POSIX       0  write       67     46707769344     16777216     14.2468     14.2941  [204]
 X_POSIX       0  write       68     47513075712     16777216     14.3270     14.3567  [204]
 X_POSIX       0  write       69     48318382080     16777216     14.4269     14.4550  [204]
 X_POSIX       0  write       70     49123688448     16777216     14.5142     14.5504  [204]
 X_POSIX       0  write       71     49928994816     16777216     14.5656     14.5897  [204]
 X_POSIX       0  write       72     50734301184     16777216     14.6330     14.6646  [204]
 X_POSIX       0  write       73     51539607552     16777216     14.6871     14.7207  [204]
 X_POSIX       0  write       74     52344913920     16777216     14.8113     14.8480  [204]
 X_POSIX       0  write       75     53150220288     16777216     14.8611     14.8854  [204]
 X_POSIX       0  write       76     53955526656     16777216     14.9663     14.9942  [204]
 X_POSIX       0  write       77     54760833024     16777216     15.0532     15.0804  [204]
 X_POSIX       0  write       78     55566139392     16777216     15.1946     15.2211  [204]
 X_POSIX       0  write       79     56371445760     16777216     15.2685     15.3095  [204]
 X_POSIX       0  write       80     57176752128     16777216     15.4818     15.5014  [204]
 X_POSIX       0  write       81     57982058496     16777216     15.5095     15.5433  [204]
 X_POSIX       0  write       82     58787364864     16777216     15.6301     15.6690  [204]
 X_POSIX       0  write       83     59592671232     16777216     15.7199     15.7525  [204]
 X_POSIX       0  write       84     60397977600     16777216     15.7986     15.8279  [204]
 X_POSIX       0  write       85     61203283968     16777216     15.8442     15.8718  [204]
 X_POSIX       0  write       86     62008590336     16777216     15.9282     15.9542  [204]
 X_POSIX       0  write       87     62813896704     16777216     16.0134     16.0412  [204]
 X_POSIX       0  write       88     63619203072     16777216     16.1081     16.1402  [204]
 X_POSIX       0  write       89     64424509440     16777216     16.1721     16.1978  [204]
